gameId,timestamp,duration_ticks,peak_multiplier,final_price,is_instarug,total_trades,unique_players,buy_orders,sell_orders,buy_sell_ratio,players_actually_trading,avg_trades_per_player,avg_volume_per_player,top_player_volume_ratio,profitable_players,profitable_player_ratio,total_profits,total_losses,profit_loss_ratio,early_entry_players,late_entry_players,early_entry_ratio,avg_player_level,high_level_players,high_level_ratio,scalpers,whales,hodlers,flippers,early_birds,late_joiners,regular_traders,duration_risk,concentration_risk,activity_risk,composite_risk_score
20250705-5b1ccccf8e324253,2025-07-05T23:29:07.420Z,138,1.696,1.236459,False,44,19,27,17,1.588,19,2.32,0.666,0.575,8,0.421,1.08,1.933,0.559,13,4,0.684,27.1,4,0.211,0,1,8,1,7,1,1,0.724,0.575,0.44,0.594
20250705-37685aadca264f8d,2025-07-05T23:29:58.230Z,82,2.224,2.223761,False,30,16,19,11,1.727,16,1.88,0.858,0.76,6,0.375,1.236,1.955,0.632,3,12,0.188,28.5,5,0.312,0,0,9,0,3,3,1,0.836,0.76,0.3,0.652
20250705-2c6882f1fd5e4efc,2025-07-05T23:30:35.069Z,18,1.288,0.984429,False,14,12,12,2,6.0,12,1.17,0.635,0.786,2,0.167,0.939,1.035,0.907,1,10,0.083,28.9,4,0.333,0,1,10,0,0,1,0,0.964,0.786,0.14,0.663
20250705-793d2c2659d941d6,2025-07-05T23:30:55.505Z,18,2.806,2.263953,False,12,9,9,3,3.0,9,1.33,0.428,0.524,3,0.333,3.25,1.236,2.629,0,8,0.0,25.8,2,0.222,0,2,5,0,0,2,0,0.964,0.524,0.12,0.579
20250705-5033163ea1d04a46,2025-07-05T23:43:29.115Z,187,1.075,0.526335,False,57,20,36,21,1.714,20,2.85,0.476,0.362,5,0.25,1.903,0.982,1.937,6,11,0.3,25.6,5,0.25,0,0,11,1,3,3,2,0.626,0.362,0.57,0.53
20250705-b722670e21b1456e,2025-07-05T23:44:26.463Z,114,2.156,0.824923,False,38,18,20,18,1.111,18,2.11,0.23,0.286,8,0.444,1.105,0.482,2.292,3,12,0.167,25.9,5,0.278,0,1,8,1,2,6,0,0.772,0.286,0.38,0.509
20250705-deae5a138e114a2b,2025-07-05T23:45:11.419Z,81,2.555,2.460981,False,27,14,17,10,1.7,14,1.93,0.136,0.4,4,0.286,0.35,0.764,0.459,2,10,0.143,26.5,5,0.357,0,0,8,1,2,2,1,0.838,0.4,0.27,0.536
20250705-2e4754efbb3e49d6,2025-07-05T23:45:47.863Z,217,1.963,0.801322,False,63,20,32,31,1.032,20,3.15,1.128,0.325,13,0.65,1.833,0.718,2.554,7,1,0.35,27.9,9,0.45,0,1,5,3,5,1,5,0.566,0.325,0.63,0.513
20250705-bb06559c8bf24a10,2025-07-05T23:46:58.571Z,113,1.605,1.467934,False,35,13,21,14,1.5,13,2.69,0.753,0.492,3,0.231,0.863,0.658,1.311,4,8,0.308,26.6,5,0.385,0,1,9,0,1,1,1,0.774,0.492,0.35,0.562
20250705-4c03bee77783475f,2025-07-05T23:47:43.200Z,237,3.066,1.448664,False,65,21,33,32,1.031,21,3.1,0.488,0.445,12,0.571,2.405,0.422,5.703,7,1,0.333,22.8,6,0.286,1,0,4,1,7,1,7,0.526,0.445,0.65,0.539
